nombre,precio,cuotas,imagen,categoria,descripcion,caracteristicas,modo_uso,calificacion,num_calificaciones
Labial liquido gloss Cappuvini #A64,1500,1,productos/labial-liquido-gloss-cappuvini.jpg,maquillaje,Labial liquido gloss Cappuvini #A64 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Labial gloss dino varios tonos Cappuvini #A01,1400,1,productos/labial-gloss-dino-varios-tonos.jpg,maquillaje,Labial gloss dino varios tonos Cappuvini #A01 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Labial gloss brillo Cappuvini #CP24,1300,1,productos/labial-gloss-brillo-cappuvini-.jpg,maquillaje,Labial gloss brillo Cappuvini #CP24 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Balsamo de labios miel Cappuvini #CP05,1400,1,productos/balsamo-de-labios-miel-cappuvi.jpg,maquillaje,Balsamo de labios miel Cappuvini #CP05 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Kit 3 labiales gloss Cappuvini #CP122,3200,1,productos/kit-3-labiales-gloss-cappuvini.jpg,maquillaje,Kit 3 labiales gloss Cappuvini #CP122 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Polvo traslucido Cappuvini #CP99,2200,1,productos/polvo-traslucido-cappuvini-cp9.jpg,maquillaje,Polvo traslucido Cappuvini #CP99 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Kit 3 labiales doble gloss+matte Cappuvini,3500,1,productos/kit-3-labiales-doble-glossmatt.jpg,maquillaje,Kit 3 labiales doble gloss+matte Cappuvini - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Labial matte osito Cappuvini #CP89,1100,1,productos/labial-matte-osito-cappuvini-c.jpg,maquillaje,Labial matte osito Cappuvini #CP89 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Labial gloss forma del vasito Cappuvini #CP244,1300,1,productos/labial-gloss-forma-del-vasito-.jpg,maquillaje,Labial gloss forma del vasito Cappuvini #CP244 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
Corrector liquido Cappuvini #A60,1400,1,productos/corrector-liquido-cappuvini-a6.jpg,maquillaje,Corrector liquido Cappuvini #A60 - Maquillaje de la marca Cappuvini,"Producto de Maquillaje
Marca: Cappuvini",-,5,0
